0	 Woozi askdaklsd i think you need to let go of the carat bong first? skjajsd 
0	"Bakit sinisisi pa rin kay Duterte yung pagiging matigas ng ulo ng mga naliligo sa Manila Bay

Kahit sino pa presideâ€¦ https://t.co/c8CwyBEO6R"
0	Bakit tinotolerate to
0	patayen ko na tv namin hahaha
0	Bong Go on MMK	 Bottomline	 and possibly GGV. Angara on MMK. Bam Aquino on Minute to Win It. Cynthia Villar on Magandangâ
0	" Kung saan natutulog lang din naman si Duterte 

At para malinaw ha: di nagdeklara ng holiday ang Indi"
1	If this is  true  then  good job
0	"*naka 92 sa politics*

: tawagin niyo si president duterte mag memeeting kami."
1	 Bong Go on MMK	 Bottomline	 and possibly GGV. Angara on MMK. Bam Aquino on Minute to Win It. Cynthia Villar on Magandang
1	Sure	 epal si Bong Go. Pero kung hindi nagkalat ang mga tarps at iba pang publicity materials nya	 aakyat ba siya 
0	Don't ever come back to journalism 
1	Bong Go on MMK	 Bottomline	 and possibly GGV. Angara on MMK. Bam Aquino on Minute to Win It. Cynthia Villar on 
1	duterte nalng unta ang pres forevs hahaha charot.
1	In fairness kay Lorenzana paminsan minsan lumalabas ang pagiging makabayan niya ang problema may takot din kay 
1	Bong Go on MMK	 Bottomline	 and possibly GGV. Angara on MMK. Bam Aquino on Minute to Win It. Cynthia Villar on Magandang
0	Bong Go sucks
0	Ang bobo mo bong go
1	Magaling naman si Bong Go
0	Ang baduy mo talaga bong go 
1	sana maging maayos na ang gobyerno pag ka halal ni bong go
