0	ang bilis ng oras kapag nag-cacram
0	grabe sino to?! hahahaha ang payat ko mygad
0	yung mga larong kalsada kisses thegirlnextdoor
0	grabe beshy eh nag inuman pa nga kayo ni jimong eh hahahaha
0	wala. sad
0	kasalanan ng langgam kung bat di mo nailagay tagline hahahahahahaa allencecilio atcalauagquezon
0	halaaa bakit? nagpaparinig na. bili na sya bago cp
0	hala nakikita mo pa rin siya?
0	mahal mo naman ako masyado janagorn
0	love m pa ba ako? hindi na seryoso ka ba pero bakit? pero gusto ko lang malaman mo mahal n mahal parin kita tangina
0	sana mamatay nalang ako at di nako magising bukas! diko na po kaya g!
0	"kaya nga ikaw na lang habol ko	 hindi na 'yung nuggets."
0	asan ka na? tagal tagal na kitang iniintay. nawawalan na ako ng pag asa.
0	hays bakit di pa din nagttrend bakit ganun somedaycover by htwilbert
0	ng tuo imo ginikanan nga buotan kyka pero sekreto rsd diay kykag labok hala oy ka guol
0	kamusta na ang mayward? san na sila ngayon? mayward fortfcjapan
0	week na lang bakasyon kaya susulitin ko na sana pero pinagbawalan na agad ako
0	"rt to be in an e gc -must be ph e-l -maengay	 sabog	 kalog -yung hindi nang iiwan -pucha mga bes rt na wag flop"
0	mahirap pala yung todo bigay and todo love ka tapos sa huli ikaw pa yung masasaktan
0	sino may joke jan? patawanin nyo ko
0	ang swerte ni jericho rosales kay kim jones
0	kamahalan? kamahalan? wang mu? -jimong ang galing ng voice actor
0	pangalawang beses ko na to na naramdaman ko yung lindol pero grabe tong ngayon
0	pano mag aral
0	opo ate sige po hahahahahaha
0	hirap pala talaga kapag single mom love kasi sya lahat as in gumagawa ng gawaing bahay trabaho laba and oth
0	gusto ko na maging masaya
0	aw sana next event andun ka ate
0	nakakapagod na mabuhay
0	jusko gael hindi ko na alam
0	"madami rin team kisses non	 pero hindi naacknowledge kasi magkakalayo yung seats. sayang! pati kissmarc di tinawag"
0	"nalulungkot ako	 pero hindi ko alam kung bakit."
0	online pero hindi para sayo
0	klase na pls boring kay balay
0	 nyetaa
0	alam ko na kung bakit ako malungkot! nasa ep nako ng goblin tapos yun yung hindi napasa sakin ni
0	kala ko anjan si nadz ngayon
0	"happy birthday miss na kitaaaa kahit di na tayo classmates gala someday pls	 god bless at make kwento to"
0	langya talaga
0	bunso caroline nagseselos si tita vi...
0	sinag wag mo ng iiwan si benjie kasi ndi namin alm kung ano ng mayayari sa kanya
0	hindi manlang ako makapag tweetpic at send sa dm ng pictures pahinging wifi mag a-update lang akooo! t.t mayward
0	hay nako zia. wag kase baba sa bundok
0	may bagong character na naman? sana si amihan ibalik niyo
0	nakakarelate talaga tweets niya
0	sobrang higpit. nakakasakal na
0	nubayan dami ko kaagaw
0	sinong hindi makakapunta ng upsurge diyan? group hug nalang tayo guys wala eh.
0	hala ang cute
